x,y,z
0.057,0.012,0.139
0.056,0.012,0.139
0.055,0.012,0.140
0.053,0.013,0.140
0.051,0.013,0.141
0.049,0.013,0.142
0.046,0.013,0.143
0.043,0.013,0.144
0.040,0.013,0.145
0.036,0.013,0.146
0.033,0.013,0.146
0.029,0.013,0.147
0.025,0.013,0.148
0.022,0.012,0.148
0.018,0.012,0.149
0.014,0.011,0.149
0.010,0.010,0.150
0.007,0.009,0.150
0.003,0.008,0.150
-0.000,0.007,0.150
-0.004,0.006,0.150
-0.007,0.005,0.150
-0.009,0.004,0.150
-0.012,0.003,0.150
-0.014,0.001,0.149
-0.016,0.000,0.149
-0.017,-0.001,0.149
-0.018,-0.002,0.149
-0.019,-0.003,0.149
-0.020,-0.004,0.149
-0.020,-0.004,0.149
-0.020,-0.004,0.149
-0.019,-0.004,0.149
-0.019,-0.005,0.149
-0.018,-0.005,0.149
-0.017,-0.006,0.149
-0.015,-0.006,0.149
-0.013,-0.006,0.149
-0.011,-0.006,0.150
-0.008,-0.006,0.150
-0.005,-0.006,0.150
-0.002,-0.006,0.150
0.001,-0.005,0.150
0.005,-0.004,0.150
0.008,-0.004,0.150
0.012,-0.003,0.150
0.016,-0.002,0.149
0.020,-0.001,0.149
0.024,0.001,0.148
0.028,0.002,0.147
0.032,0.003,0.147
0.035,0.004,0.146
0.039,0.006,0.145
0.042,0.007,0.144
0.045,0.008,0.143
0.048,0.010,0.142
0.051,0.010,0.141
0.053,0.011,0.140
0.055,0.012,0.140
0.056,0.012,0.139
0.057,0.012,0.139
